Name,Location,Price,Rating,Review
Jetwing Saman Villas,Bentota,414,5,1394
Anantara Peace Haven Tangalle Resort,Tangalle,234,5,4434
CoCoBay Unawatuna,Unawatuna,183,4.5,1213
Shangri-La Hambantota,Hambanthota,170,4.5,2325
Cinnamon Bentota Beach,Bentota,179,5,1191
Jetwing Lighthouse,Galle,210,4.5,2612
Taj Bentota Resort & Spa,Bentota,183,4.5,3970
Le Grand Galle,Galle,173,4.5,1041
DoubleTree by Hilton Weerawila Rajawarna Resort,Weerawila,96,4.5,353
The Spice House Mirissa,Mirissa,70,5,795
Radisson Blu Resort Galle,Galle,125,4.5,2305
